rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
"4,166.",Red State,(2011),R,88 min,"
Action, Crime, Horror            ",6.2,"
    Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.",Kevin Smith,"Michael Parks, Melissa Leo, John Goodman, Michael Angarano",$1.10M
"4,167.",Sydney White,(2007),PG-13,108 min,"
Comedy, Drama, Romance            ",6.2,"
    A modern retelling of Snow White set against students in their freshman year of college in the greek system.",Joe Nussbaum,"Amanda Bynes, Sara Paxton, Matt Long, Jack Carpenter",$11.89M
"4,168.","New York, I Love You",(2008),R,103 min,"
Comedy, Drama, Romance            ",6.2,"
    Eleven love stories set in one of the most loved and hated cities of the world, New York City.",Fatih Akin,"Yvan Attal, Randall Balsmeyer, Allen Hughes, Shunji Iwai",$1.59M
"4,169.",Case 39,(2009),R,109 min,"
Horror, Mystery, Thriller            ",6.2,"
    A social worker fights to save a girl from her abusive parents, only to discover that the situation is more dangerous than she ever expected.",Christian Alvart,"Renée Zellweger, Ian McShane, Jodelle Ferland, Bradley Cooper",$13.25M
"4,170.",Mirrors,(I) (2008),R,110 min,"
Horror, Mystery            ",6.2,"
    An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.",Alexandre Aja,"Kiefer Sutherland, Paula Patton, Amy Smart, Cameron Boyce",$30.69M
"4,171.",Bill,(2007),R,93 min,"
Comedy, Drama            ",6.2,"
    A guy fed up with his job and married to a cheating wife reluctantly mentors a rebellious teen.",Bernie Goldmann,"Melisa Wallack, Aaron Eckhart, Jessica Alba, Logan Lerman",$0.06M
"4,172.",The Last Mimzy,(2007),PG,90 min,"
Drama, Family, Sci-Fi            ",6.2,"
    Two siblings begin to develop special talents after they find a mysterious box of toys. Soon the kids, their parents, and even their teacher are drawn into a strange new world and find a task ahead of them that is far more important than any of them could imagine!",Robert Shaye,"Joely Richardson, Rainn Wilson, Timothy Hutton, Chris O'Neil",$21.47M
"4,173.",War,(2007),R,103 min,"
Action, Thriller            ",6.2,"
    An FBI Agent seeks vengeance on a mysterious assassin known as ""Rogue"" who murdered his partner.",Philip G. Atwell,"Jet Li, Jason Statham, Nadine Velazquez, John Lone",$22.49M
"4,174.",Tulip Fever,(2017),R,105 min,"
Drama, History, Romance            ",6.2,"
    An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of seventeenth century Amsterdam.",Justin Chadwick,"Alicia Vikander, Dane DeHaan, Jack O'Connell, Holliday Grainger",$2.43M
"4,175.",Big Stan,(2007),R,105 min,"
Action, Comedy            ",6.2,"
    A weak con man panics when he learns he's going to prison for fraud. He hires a mysterious martial arts guru who helps transform him into a martial arts expert who can fight off inmates who want to hurt or love him.",Rob Schneider,"Rob Schneider, David Carradine, Sally Kirkland, Jennifer Morrison",NaN
"4,176.",Saw III,(2006),R,108 min,"
Horror, Mystery, Thriller            ",6.2,"
    Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.",Darren Lynn Bousman,"Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh",$80.24M
